traditional,simplified,zhuyin,pinyin,translations,classifiers,class,level
技術,技术,ㄐㄧˋ ㄕㄨˋ,jì shù,technology / technique / skill,門|门 / 種|种 / 項|项,N,Level 4
計算,计算,ㄐㄧˋ ㄙㄨㄢˋ,jì suàn,to count / to calculate / to compute,個|个,V,Level 4
計較,计较,ㄐㄧˋ ㄐㄧㄠˋ,jì jiào,to bother about / to haggle / to bicker / to argue / plan / stratagem,,Vs,Level 4
記性,记性,ㄐㄧˋ ㄒㄧㄥˋ,jì xìng,memory (ability to retain information),,N,Level 4
記憶,记忆,ㄐㄧˋ ㄧˋ,jì yì,to remember / to recall / memory,個|个,Vi,Level 4
記載,记载,ㄐㄧˋ ㄗㄞˋ,jì zài,to write down / to record / written account,,V,Level 4
記住,记住,ㄐㄧˋ ㄓㄨˋ,jì zhù,to remember / to bear in mind / to learn by heart,,Vpt,Level 4
加班,加班,ㄐㄧㄚ ㄅㄢ,jiā bān,to work overtime,,V-sep,Level 4
加工,加工,ㄐㄧㄚ ㄍㄨㄥ,jiā gōng,to process / processing / working (of machinery),,V-sep,Level 4
加上,加上,ㄐㄧㄚ ㄕㄤˋ,jiā shàng,plus / to put in / to add / to add on / to add into / in addition / on top of that,,Conj,Level 4
加速,加速,ㄐㄧㄚ ㄙㄨˋ,jiā sù,to speed up / to expedite,,V,Level 4
加以,加以,ㄐㄧㄚ ㄧˇ,jiā yǐ,"in addition / moreover / (used before a disyllabic verb to indicate that the action of the verb is applied to sth or sb previously mentioned) / to apply (restrictions etc) to (sb) / to give (support, consideration etc) to (sth)",,Adv,Level 4
家事,家事,ㄐㄧㄚ ㄕˋ,jiā shì,family matters / domestic affairs / housework,,N,Level 4
夾,夹,ㄐㄧㄚˊ,jiá,Taiwan pr. used in 夾生|夹生[jia1 sheng1] and 夾竹桃|夹竹桃[jia1 zhu2 tao2],,V,Level 4
甲,甲,ㄐㄧㄚˇ,jiǎ,"first of the ten Heavenly Stems 十天干[shi2 tian1 gan1] / (used for an unspecified person or thing) / first (in a list, as a party to a contract etc) / letter ""A"" or roman ""I"" in list ""A, B, C"", or ""I, II, III"" etc / armor plating / shell or carapace / (of the fingers or toes) nail / bladed leather or metal armor (old) / ranking system used in the Imperial examinations (old) / civil administration unit in the baojia 保甲[bao3 jia3] system (old) / ancient Chinese compass point: 75°",,N,Level 4
嫁,嫁,ㄐㄧㄚˋ,jià,(of a woman) to marry / to marry off a daughter / to shift (blame etc),,V,Level 4
駕駛,驾驶,ㄐㄧㄚˋ ㄕˇ,jià shǐ,"to pilot (ship, airplane etc) / to drive",,N,Level 4
駕駛,驾驶,ㄐㄧㄚˋ ㄕˇ,jià shǐ,"to pilot (ship, airplane etc) / to drive",,V,Level 4
價值,价值,ㄐㄧㄚˋ ㄓˊ,jià zhí,"value / worth / fig. values (ethical, cultural etc)",個|个,Vst,Level 4
尖,尖,ㄐㄧㄢ,jiān,point (of needle) / sharp / shrewd / pointed,,Vs,Level 4
尖銳,尖锐,ㄐㄧㄢ ㄖㄨㄟˋ,jiān ruì,sharp / intense / penetrating / pointed / acute (illness),,Vs,Level 4
肩,肩,ㄐㄧㄢ,jiān,shoulder / to shoulder (responsibilities etc),,N,Level 4
兼,兼,ㄐㄧㄢ,jiān,double / twice / simultaneous / holding two or more (official) posts at the same time,,V,Level 4
間,间,ㄐㄧㄢ,jiān,gap / to separate / to thin out (seedlings) / to sow discontent,,N,Level 4
堅定,坚定,ㄐㄧㄢ ㄉㄧㄥˋ,jiān dìng,firm / steady / staunch / resolute,,Vs,Level 4
堅決,坚决,ㄐㄧㄢ ㄐㄩㄝˊ,jiān jué,firm / resolute / determined,,Vs,Level 4
監視,监视,ㄐㄧㄢ ㄕˋ,jiān shì,to monitor / to keep a close watch over / surveillance,,V,Level 4
監獄,监狱,ㄐㄧㄢ ㄩˋ,jiān yù,prison,,N,Level 4
揀,拣,ㄐㄧㄢˇ,jiǎn,to choose / to pick / to sort out / to pick up,,V,Level 4
撿,捡,ㄐㄧㄢˇ,jiǎn,to pick up / to collect / to gather,,V,Level 4
剪刀,剪刀,ㄐㄧㄢˇ ㄉㄠ,jiǎn dāo,scissors,把|把,N,Level 4
檢驗,检验,ㄐㄧㄢˇ ㄧㄢˋ,jiǎn yàn,to inspect / to examine / to test,,V,Level 4
建,建,ㄐㄧㄢˋ,jiàn,to establish / to found / to set up / to build / to construct,,V,Level 4
建國,建国,ㄐㄧㄢˋ ㄍㄨㄛˊ,jiàn guó,to found a country / nation-building / the foundation of PRC by Mao Zedong in 1949,,Vi,Level 4
建築,建筑,ㄐㄧㄢˋ ㄓㄨˊ,jiàn zhú,to construct / building,個|个,N,Level 4
建築,建筑,ㄐㄧㄢˋ ㄓㄨˊ,jiàn zhú,to construct / building,個|个,V,Level 4
箭,箭,ㄐㄧㄢˋ,jiàn,arrow,支|支,N,Level 4
漸漸,渐渐,ㄐㄧㄢˋ ㄐㄧㄢˋ,jiàn jiàn,gradually,,Adv,Level 4
間接,间接,ㄐㄧㄢˋ ㄐㄧㄝ,jiàn jiē,indirect,,Vs-attr,Level 4
鍵盤,键盘,ㄐㄧㄢˋ ㄆㄢˊ,jiàn pán,keyboard,,N,Level 4
健全,健全,ㄐㄧㄢˋ ㄑㄩㄢˊ,jiàn quán,robust / sound,,Vs,Level 4
江,江,ㄐㄧㄤ,jiāng,river,條|条 / 道|道,N,Level 4
將,将,ㄐㄧㄤ,jiāng,to desire / to invite / to request,,Adv,Level 4
將要,将要,ㄐㄧㄤ ㄧㄠˋ,jiāng yào,will / shall / to be going to,,Adv,Level 4
獎金,奖金,ㄐㄧㄤˇ ㄐㄧㄣ,jiǎng jīn,premium / award money / bonus,,N,Level 4
獎品,奖品,ㄐㄧㄤˇ ㄆㄧㄣˇ,jiǎng pǐn,award / prize,,N,Level 4
降,降,ㄐㄧㄤˋ,jiàng,to surrender / to capitulate / to subdue / to tame,,Vp,Level 4
降價,降价,ㄐㄧㄤˋ ㄐㄧㄚˋ,jiàng jià,to cut the price / to drive down the price / to get cheaper,,Vp-sep,Level 4
澆,浇,ㄐㄧㄠ,jiāo,to pour liquid / to irrigate (using waterwheel) / to water / to cast (molten metal) / to mold,,V,Level 4
交代,交代,ㄐㄧㄠ ㄉㄞˋ,jiāo dài,to hand over / to explain / to make clear / to brief (sb) / to account for / to justify oneself / to confess / (coll.) to finish,,V,Level 4
交換,交换,ㄐㄧㄠ ㄏㄨㄢˋ,jiāo huàn,to exchange / to swap / to switch (telecom) / commutative (math) / to commute,,V,Level 4
交際,交际,ㄐㄧㄠ ㄐㄧˋ,jiāo jì,communication / social intercourse,,Vi,Level 4
交往,交往,ㄐㄧㄠ ㄨㄤˇ,jiāo wǎng,to associate (with) / to have contact (with) / to hang out (with) / to date / (interpersonal) relationship / association / contact,,Vi,Level 4
交易,交易,ㄐㄧㄠ ㄧˋ,jiāo yì,(business) transaction / business deal,筆|笔,N,Level 4
交易,交易,ㄐㄧㄠ ㄧˋ,jiāo yì,(business) transaction / business deal,筆|笔,Vi,Level 4
郊外,郊外,ㄐㄧㄠ ㄨㄞˋ,jiāo wài,outskirts,,N,Level 4
角,角,ㄐㄧㄠˇ,jiǎo,role (theater) / to compete / ancient three legged wine vessel / third note of pentatonic scale,,N,Level 4
角落,角落,ㄐㄧㄠˇ ㄌㄨㄛˋ,jiǎo luò,nook / corner,,N,Level 4
繳,缴,ㄐㄧㄠˇ,jiǎo,to hand in / to hand over / to seize,,V,Level 4
腳步,脚步,ㄐㄧㄠˇ ㄅㄨˋ,jiǎo bù,footstep / step,,N,Level 4
較,较,ㄐㄧㄠˋ,jiào,to compare / to dispute / compared to / (before adj.) relatively / comparatively / rather / also pr. [jiao3],,Prep,Level 4
叫喊,叫喊,ㄐㄧㄠˋ ㄏㄢˇ,jiào hǎn,exclamation / outcry / shout / yell,,V,Level 4
教會,教会,ㄐㄧㄠˋ ㄏㄨㄟˋ,jiào huì,Christian church,,N,Level 4
教授,教授,ㄐㄧㄠˋ ㄕㄡˋ,jiào shòu,professor / to instruct / to lecture on,個|个 / 位|位,V,Level 4
教學,教学,ㄐㄧㄠˋ ㄒㄩㄝˊ,jiào xué,to teach / teaching and learning / education,門|门 / 個|个,Vi,Level 4
教訓,教训,ㄐㄧㄠˋ ㄒㄩㄣˋ,jiào xùn,lesson / moral / to chide sb / to lecture sb,,V,Level 4
接,接,ㄐㄧㄝ,jiē,to receive / to answer (the phone) / to meet or welcome sb / to connect / to catch / to join / to extend / to take one's turn on duty / to take over for sb,,Vst,Level 4
接待,接待,ㄐㄧㄝ ㄉㄞˋ,jiē dài,to receive (a visitor) / to admit (allow sb to enter),,V,Level 4
接到,接到,ㄐㄧㄝ ㄉㄠˋ,jiē dào,to receive (letter etc),,Vpt,Level 4
接見,接见,ㄐㄧㄝ ㄐㄧㄢˋ,jiē jiàn,to receive sb / to grant an interview,,V,Level 4
接近,接近,ㄐㄧㄝ ㄐㄧㄣˋ,jiē jìn,to approach / to get close to,,V,Level 4
接近,接近,ㄐㄧㄝ ㄐㄧㄣˋ,jiē jìn,to approach / to get close to,,Vs,Level 4
街道,街道,ㄐㄧㄝ ㄉㄠˋ,jiē dào,street / subdistrict / residential district,條|条,N,Level 4
街頭,街头,ㄐㄧㄝ ㄊㄡˊ,jiē tóu,street,,N,Level 4
階段,阶段,ㄐㄧㄝ ㄉㄨㄢˋ,jiē duàn,stage / section / phase / period,個|个,N,Level 4
節,节,ㄐㄧㄝˊ,jié,"festival / holiday / node / joint / section / segment / part / to economize / to save / to abridge / moral integrity / classifier for segments, e.g. lessons, train wagons, biblical verses",個|个,M,Level 4
節省,节省,ㄐㄧㄝˊ ㄕㄥˇ,jié shěng,saving / to save / to use sparingly / to cut down on,,Vst,Level 4
節約,节约,ㄐㄧㄝˊ ㄩㄝ,jié yuē,to economize / to conserve (resources) / economy / frugal,,Vst,Level 4
結,结,ㄐㄧㄝˊ,jié,knot / sturdy / bond / to tie / to bind / to check out (of a hotel),,N,Level 4
結構,结构,ㄐㄧㄝˊ ㄍㄡˋ,jié gòu,structure / composition / makeup / architecture,座|座 / 個|个,N,Level 4
結果,结果,ㄐㄧㄝˊ ㄍㄨㄛˇ,jié guǒ,outcome / result / conclusion / in the end / as a result / to kill / to dispatch,,N,Level 4
結果,结果,ㄐㄧㄝˊ ㄍㄨㄛˇ,jié guǒ,outcome / result / conclusion / in the end / as a result / to kill / to dispatch,,Vp-sep,Level 4
結合,结合,ㄐㄧㄝˊ ㄏㄜˊ,jié hé,to combine / to link / to integrate / binding,次|次,Vpt,Level 4
結論,结论,ㄐㄧㄝˊ ㄌㄨㄣˋ,jié lùn,conclusion / verdict / to conclude / to reach a verdict,個|个,N,Level 4
結算,结算,ㄐㄧㄝˊ ㄙㄨㄢˋ,jié suàn,to settle a bill / to close an account,,Vi,Level 4
結帳,结帐,ㄐㄧㄝˊ ㄓㄤˋ,jié zhàng,to pay the bill / to settle accounts / also written 結賬|结账,,Vi,Level 4
截止,截止,ㄐㄧㄝˊ ㄓˇ,jié zhǐ,to close / to stop / to put a stop to sth / cut-off point / stopping point / deadline,,Vp,Level 4
解,解,ㄐㄧㄝˇ,jiě,acrobatic display (esp. on horseback) (old) / variant of 懈[xie4] and 邂[xie4] (old),,V,Level 4
解除,解除,ㄐㄧㄝˇ ㄔㄨˊ,jiě chú,to remove / to sack / to get rid of / to relieve (sb of their duties) / to free / to lift (an embargo) / to rescind (an agreement),,V,Level 4
解答,解答,ㄐㄧㄝˇ ㄉㄚˊ,jiě dá,answer / explanation / solution (to a math equation),,V,Level 4
屆,届,ㄐㄧㄝˋ,jiè,"to arrive at (place or time) / period / to become due / classifier for events, meetings, elections, sporting fixtures, years (of graduation)",,M,Level 4
界線,界线,ㄐㄧㄝˋ ㄒㄧㄢˋ,jiè xiàn,limits / bounds / dividing line,,N,Level 4
戒指,戒指,ㄐㄧㄝˋ ㄓˇ,jiè zhǐ,(finger) ring,,N,Level 4
今後,今后,ㄐㄧㄣ ㄏㄡˋ,jīn hòu,hereafter / henceforth / in the future / from now on,,N,Level 4
金額,金额,ㄐㄧㄣ ㄜˊ,jīn é,sum of money / monetary value,,N,Level 4
金融,金融,ㄐㄧㄣ ㄖㄨㄥˊ,jīn róng,banking / finance / financial,,N,Level 4
金屬,金属,ㄐㄧㄣ ㄕㄨˇ,jīn shǔ,metal,種|种,N,Level 4
儘管,尽管,ㄐㄧㄣˇ ㄍㄨㄢˇ,jǐn guǎn,"despite / although / even though / in spite of / unhesitatingly / do not hesitate (to ask, complain etc) / (go ahead and do it) without hesitating",,Adv,Level 4
儘量,尽量,ㄐㄧㄣˇ ㄌㄧㄤˋ,jǐn liàng,as much as possible / to the greatest extent,,Adv,Level 4
緊急,紧急,ㄐㄧㄣˇ ㄐㄧˊ,jǐn jí,urgent / emergency,,Vs,Level 4
僅僅,仅仅,ㄐㄧㄣˇ ㄐㄧㄣˇ,jǐn jǐn,barely / only / merely / only (this and nothing more),,Adv,Level 4
近,近,ㄐㄧㄣˋ,jìn,near / close to / approximately,,Vst,Level 4
近來,近来,ㄐㄧㄣˋ ㄌㄞˊ,jìn lái,recently / lately,,Adv,Level 4
近視,近视,ㄐㄧㄣˋ ㄕˋ,jìn shì,shortsighted / nearsighted / myopia,,Vs,Level 4
盡力,尽力,ㄐㄧㄣˋ ㄌㄧˋ,jìn lì,to strive one's hardest / to spare no effort,,Vs,Level 4
進入,进入,ㄐㄧㄣˋ ㄖㄨˋ,jìn rù,to enter / to join / to go into,,V,Level 4
進口,进口,ㄐㄧㄣˋ ㄎㄡˇ,jìn kǒu,"to import / imported / entrance / inlet (for the intake of air, water etc)",,V,Level 4
禁止,禁止,ㄐㄧㄣˋ ㄓˇ,jìn zhǐ,to prohibit / to forbid / to ban,,V,Level 4
浸,浸,ㄐㄧㄣˋ,jìn,to immerse / to soak / to steep / gradually,,V,Level 4
精彩,精彩,ㄐㄧㄥ ㄘㄞˇ,jīng cǎi,wonderful / marvelous / brilliant,,Vs,Level 4
精力,精力,ㄐㄧㄥ ㄌㄧˋ,jīng lì,energy,,N,Level 4
精細,精细,ㄐㄧㄥ ㄒㄧˋ,jīng xì,fine / meticulous / careful,,Vs,Level 4
經濟,经济,ㄐㄧㄥ ㄐㄧˋ,jīng jì,economy / economic,,N,Level 4
經歷,经历,ㄐㄧㄥ ㄌㄧˋ,jīng lì,experience / to experience / to go through,個|个 / 次|次,N,Level 4
經歷,经历,ㄐㄧㄥ ㄌㄧˋ,jīng lì,experience / to experience / to go through,個|个 / 次|次,Vst,Level 4
經營,经营,ㄐㄧㄥ ㄧㄥˊ,jīng yíng,to engage in (business etc) / to run / to operate,,V,Level 4
京劇,京剧,ㄐㄧㄥ ㄐㄩˋ,jīng jù,Beijing opera,場|场 / 齣|出,N,Level 4
驚人,惊人,ㄐㄧㄥ ㄖㄣˊ,jīng rén,astonishing,,Vs,Level 4
警告,警告,ㄐㄧㄥˇ ㄍㄠˋ,jǐng gào,to warn / to admonish,,N,Level 4
警告,警告,ㄐㄧㄥˇ ㄍㄠˋ,jǐng gào,to warn / to admonish,,V,Level 4
景色,景色,ㄐㄧㄥˇ ㄙㄜˋ,jǐng sè,scenery / scene / landscape / view,,N,Level 4
靜,静,ㄐㄧㄥˋ,jìng,still / calm / quiet / not moving,,Vs,Level 4
鏡,镜,ㄐㄧㄥˋ,jìng,mirror / lens,,N,Level 4
鏡子,镜子,ㄐㄧㄥˋ ㄗ˙,jìng zi,mirror,面|面 / 個|个,N,Level 4
敬愛,敬爱,ㄐㄧㄥˋ ㄞˋ,jìng ài,respect and love,,Vst,Level 4
敬酒,敬酒,ㄐㄧㄥˋ ㄐㄧㄡˇ,jìng jiǔ,to toast / to propose a toast,,V-sep,Level 4
敬禮,敬礼,ㄐㄧㄥˋ ㄌㄧˇ,jìng lǐ,to salute / salute,,V-sep,Level 4
淨化,净化,ㄐㄧㄥˋ ㄏㄨㄚˋ,jìng huà,to purify,,Vpt,Level 4
竟然,竟然,ㄐㄧㄥˋ ㄖㄢˊ,jìng rán,unexpectedly / to one's surprise / in spite of everything / in that crazy way / actually / to go as far as to,,Adv,Level 4
競爭,竞争,ㄐㄧㄥˋ ㄓㄥ,jìng zhēng,to compete / competition,,Vi,Level 4
糾正,纠正,ㄐㄧㄡ ㄓㄥˋ,jiū zhèng,to correct / to make right,,V,Level 4
酒會,酒会,ㄐㄧㄡˇ ㄏㄨㄟˋ,jiǔ huì,drinking party / wine reception,,N,Level 4
就,就,ㄐㄧㄡˋ,jiù,at once / right away / only / just (emphasis) / as early as / already / as soon as / then / in that case / as many as / even if / to approach / to move towards / to undertake / to engage in / to suffer / subjected to / to accomplish / to take advantage of / to go with (of foods) / with regard to / concerning,,Adv,Level 4
就是,就是,ㄐㄧㄡˋ ㄕˋ,jiù shì,(emphasizes that sth is precisely or exactly as stated) / precisely / exactly / even / if / just like / in the same way as,,Adv,Level 4
就是說,就是说,ㄐㄧㄡˋ ㄕˋ ㄕㄨㄛ,jiù shì shuō,in other words / that is,,Conj,Level 4
就業,就业,ㄐㄧㄡˋ ㄧㄝˋ,jiù yè,to get a job / employment,,Vi,Level 4
救火,救火,ㄐㄧㄡˋ ㄏㄨㄛˇ,jiù huǒ,to put out a fire / firefighting,,Vi,Level 4
究竟,究竟,ㄐㄧㄡˋ ㄐㄧㄥˋ,jiù jìng,to go to the bottom of a matter / after all / when all is said and done / (in an interrogative sentence) finally / outcome / result,,Adv,Level 4
居民,居民,ㄐㄩ ㄇㄧㄣˊ,jū mín,resident / inhabitant,,N,Level 4
居然,居然,ㄐㄩ ㄖㄢˊ,jū rán,unexpectedly / to one's surprise / go so far as to,,Adv,Level 4
局,局,ㄐㄩˊ,jú,"office / situation / classifier for games: match, set, round etc",,M,Level 4
鞠躬,鞠躬,ㄐㄩˊ ㄍㄨㄥ,jú gōng,to bow / (literary) to bend down,,Vi,Level 4
巨大,巨大,ㄐㄩˋ ㄉㄚˋ,jù dà,huge / immense / very large / tremendous / gigantic / enormous,,Vs,Level 4
具,具,ㄐㄩˋ,jù,"tool / device / utensil / equipment / instrument / talent / ability / to possess / to have / to provide / to furnish / to state / classifier for devices, coffins, dead bodies",,M,Level 4
具,具,ㄐㄩˋ,jù,"tool / device / utensil / equipment / instrument / talent / ability / to possess / to have / to provide / to furnish / to state / classifier for devices, coffins, dead bodies",,Vst,Level 4
具備,具备,ㄐㄩˋ ㄅㄟˋ,jù bèi,to possess / to have / equipped with / able to fulfill (conditions or requirements),,Vst,Level 4
具體,具体,ㄐㄩˋ ㄊㄧˇ,jù tǐ,concrete / definite / specific,,Vs,Level 4
俱樂部,俱乐部,ㄐㄩˋ ㄌㄜˋ ㄅㄨˋ,jù lè bù,club (the organisation or its premises) (loanword),個|个,N,Level 4
聚集,聚集,ㄐㄩˋ ㄐㄧˊ,jù jí,to assemble / to gather,,Vi,Level 4
距離,距离,ㄐㄩˋ ㄌㄧˊ,jù lí,distance / to be apart from,個|个,Prep,Level 4
劇場,剧场,ㄐㄩˋ ㄔㄤˇ,jù chǎng,theater,個|个,N,Level 4
劇烈,剧烈,ㄐㄩˋ ㄌㄧㄝˋ,jù liè,violent / acute / severe / fierce,,Vs,Level 4
劇院,剧院,ㄐㄩˋ ㄩㄢˋ,jù yuàn,theater,家|家 / 座|座,N,Level 4
據說,据说,ㄐㄩˋ ㄕㄨㄛ,jù shuō,it is said that / reportedly,,Conj,Level 4
捐,捐,ㄐㄩㄢ,juān,to contribute / to donate / contribution / tax / to abandon,,V,Level 4
捐款,捐款,ㄐㄩㄢ ㄎㄨㄢˇ,juān kuǎn,to donate money / to contribute funds / donation / contribution (of money),,N,Level 4
捐款,捐款,ㄐㄩㄢ ㄎㄨㄢˇ,juān kuǎn,to donate money / to contribute funds / donation / contribution (of money),,V-sep,Level 4
卷,卷,ㄐㄩㄢˇ,juǎn,"scroll / book / volume / chapter / examination paper / classifier for books, paintings: volume, scroll",,M,Level 4
捲,卷,ㄐㄩㄢˇ,juǎn,to roll (up) / to sweep up / to carry on / roll,,V,Level 4
決,决,ㄐㄩㄝˊ,jué,to decide / to determine / to execute (sb) / (of a dam etc) to breach or burst / definitely / certainly,,Adv,Level 4
絕,绝,ㄐㄩㄝˊ,jué,to cut short / extinct / to disappear / to vanish / absolutely / by no means,,Adv,Level 4
決心,决心,ㄐㄩㄝˊ ㄒㄧㄣ,jué xīn,determination / resolution / determined / firm and resolute / to make up one's mind,個|个,N,Level 4
決心,决心,ㄐㄩㄝˊ ㄒㄧㄣ,jué xīn,determination / resolution / determined / firm and resolute / to make up one's mind,個|个,Vp,Level 4
絕不,绝不,ㄐㄩㄝˊ ㄅㄨˋ,jué bù,in no way / not in the least / absolutely not,,Adv,Level 4
絕大部分,绝大部分,ㄐㄩㄝˊ ㄉㄚˋ ㄅㄨˋ ㄈㄣˋ,jué dà bù fèn,overwhelming majority,,Det,Level 4
絕對,绝对,ㄐㄩㄝˊ ㄉㄨㄟˋ,jué duì,absolute / unconditional,,Vs-attr,Level 4
覺悟,觉悟,ㄐㄩㄝˊ ㄨˋ,jué wù,to come to understand / to realize / consciousness / awareness / Buddhist enlightenment (Sanskrit: cittotpāda),,Vp,Level 4
軍,军,ㄐㄩㄣ,jūn,army / military / arms,個|个,N,Level 4
軍事,军事,ㄐㄩㄣ ㄕˋ,jūn shì,military affairs / military matters / military,,N,Level 4
卡,卡,ㄎㄚˇ,kǎ,to block / to be stuck / to be wedged / customs station / a clip / a fastener / a checkpost / Taiwan pr. [ka3],,M,Level 4
卡,卡,ㄎㄚˇ,kǎ,to block / to be stuck / to be wedged / customs station / a clip / a fastener / a checkpost / Taiwan pr. [ka3],,Vi,Level 4
卡通,卡通,ㄎㄚˇ ㄊㄨㄥ,kǎ tōng,cartoon (loanword),,N,Level 4
開,开,ㄎㄞ,kāi,"to open / to start / to turn on / to boil / to write out (a prescription, check, invoice etc) / to operate (a vehicle) / carat (gold) / abbr. for Kelvin, 開爾文|开尔文[Kai1 er3 wen2] / abbr. for 開本|开本[kai1 ben3], book format",,Vp,Level 4
開除,开除,ㄎㄞ ㄔㄨˊ,kāi chú,to expel (a member of an organization) / to fire (an employee),,V,Level 4
開刀,开刀,ㄎㄞ ㄉㄠ,kāi dāo,(of a surgeon) to perform an operation / (of a patient) to have an operation / to decapitate / to behead / to single out as a point of attack,,V-sep,Level 4
開發,开发,ㄎㄞ ㄈㄚ,kāi fā,to exploit (a resource) / to open up (for development) / to develop,,V,Level 4
開戶,开户,ㄎㄞ ㄏㄨˋ,kāi hù,to open an account (bank etc),,V-sep,Level 4
開課,开课,ㄎㄞ ㄎㄜˋ,kāi kè,school begins / give a course / teach a subject,,V-sep,Level 4
開明,开明,ㄎㄞ ㄇㄧㄥˊ,kāi míng,enlightened / open-minded / enlightenment,,Vs,Level 4
開設,开设,ㄎㄞ ㄕㄜˋ,kāi shè,to offer (goods or services) / to open (for business etc),,V,Level 4
開拓,开拓,ㄎㄞ ㄊㄨㄛˋ,kāi tuò,to break new ground (for agriculture) / to open up (a new seam) / to develop (border regions) / fig. to open up (new horizons),,V,Level 4
開演,开演,ㄎㄞ ㄧㄢˇ,kāi yǎn,"(of a play, movie etc) to begin",,Vp,Level 4
看家,看家,ㄎㄢ ㄐㄧㄚ,kān jiā,"to look after the house / (of skill, ability) special / outstanding",,Vi,Level 4
砍,砍,ㄎㄢˇ,kǎn,to chop / to cut down / to throw sth at sb,,V,Level 4
看,看,ㄎㄢˋ,kàn,to see / to look at / to read / to watch / to visit / to call on / to consider / to regard as / to look after / to treat (an illness) / to depend on / to feel (that) / (after verb) to give it a try / Watch out! (for a danger),,Vst,Level 4
看得起,看得起,ㄎㄢˋ ㄉㄜ˙ ㄑㄧˇ,kàn de qǐ,to show respect for / to think highly of,,Vst,Level 4
看看,看看,ㄎㄢˋ ㄎㄢ˙,kàn kan,to take a look at / to examine / to survey / (coll.) pretty soon,,Phrase,Level 4
看來,看来,ㄎㄢˋ ㄌㄞˊ,kàn lái,apparently / it seems that,,Adv,Level 4
看樣子,看样子,ㄎㄢˋ ㄧㄤˋ ㄗ˙,kàn yàng zi,it seems / it looks as if,,Adv,Level 4
抗議,抗议,ㄎㄤˋ ㄧˋ,kàng yì,to protest / protest,,V,Level 4
考察,考察,ㄎㄠˇ ㄔㄚˊ,kǎo chá,to inspect / to observe and study / on-the-spot investigation,,V,Level 4
考卷,考卷,ㄎㄠˇ ㄐㄩㄢˋ,kǎo juàn,exam paper,,N,Level 4
考慮,考虑,ㄎㄠˇ ㄌㄩˋ,kǎo lǜ,to think over / to consider / consideration,,V,Level 4
考取,考取,ㄎㄠˇ ㄑㄩˇ,kǎo qǔ,to pass an entrance exam / to be admitted to,,Vpt,Level 4
靠,靠,ㄎㄠˋ,kào,to lean against or on / to stand by the side of / to come near to / to depend on / to trust / to fuck (vulgar) / traditional military costume drama where the performers wear armor (old),,Prep,Level 4
靠近,靠近,ㄎㄠˋ ㄐㄧㄣˋ,kào jìn,near / to approach,,V,Level 4
科目,科目,ㄎㄜ ㄇㄨˋ,kē mù,subject,,N,Level 4
顆,颗,ㄎㄜ,kē,"classifier for small spheres, pearls, corn grains, teeth, hearts, satellites etc",,M,Level 4
可是,可是,ㄎㄜˇ ㄕˋ,kě shì,but / however / (used for emphasis) indeed,,Adv,Level 4
可喜,可喜,ㄎㄜˇ ㄒㄧˇ,kě xǐ,making one happy / gratifying / heartening,,Vs,Level 4
可笑,可笑,ㄎㄜˇ ㄒㄧㄠˋ,kě xiào,funny / ridiculous,,Vs,Level 4
客房,客房,ㄎㄜˋ ㄈㄤˊ,kè fáng,guest room,,N,Level 4
客觀,客观,ㄎㄜˋ ㄍㄨㄢ,kè guān,objective / impartial,,Vs,Level 4
客戶,客户,ㄎㄜˋ ㄏㄨˋ,kè hù,client / customer,,N,Level 4
課外,课外,ㄎㄜˋ ㄨㄞˋ,kè wài,extracurricular,,Vs-attr,Level 4
空,空,ㄎㄨㄥ,kōng,to empty / vacant / unoccupied / space / leisure / free time,,Adv,Level 4
空前,空前,ㄎㄨㄥ ㄑㄧㄢˊ,kōng qián,unprecedented,,Vs-attr,Level 4
空中,空中,ㄎㄨㄥ ㄓㄨㄥ,kōng zhōng,in the sky / in the air,,N,Level 4
恐怖,恐怖,ㄎㄨㄥˇ ㄅㄨˋ,kǒng bù,terrible / frightful / frightening / terror / terrorist,,Vs,Level 4
空,空,ㄎㄨㄥˋ,kòng,to empty / vacant / unoccupied / space / leisure / free time,,N,Level 4
空兒,空儿,ㄎㄨㄥˋ ㄦ,kòng r1,spare time / free time,,N,Level 4
控制,控制,ㄎㄨㄥˋ ㄓˋ,kòng zhì,control / to exercise control over / to contain,,V,Level 4
口,口,ㄎㄡˇ,kǒu,"mouth / classifier for things with mouths (people, domestic animals, cannons, wells etc) / classifier for bites or mouthfuls",,M,Level 4
口才,口才,ㄎㄡˇ ㄘㄞˊ,kǒu cái,eloquence,,N,Level 4
口號,口号,ㄎㄡˇ ㄏㄠˋ,kǒu hào,slogan / catchphrase,個|个,N,Level 4
口紅,口红,ㄎㄡˇ ㄏㄨㄥˊ,kǒu hóng,lipstick,,N,Level 4
口氣,口气,ㄎㄡˇ ㄑㄧˋ,kǒu qì,tone of voice / the way one speaks / manner of expression / tone,,N,Level 4
口試,口试,ㄎㄡˇ ㄕˋ,kǒu shì,oral examination / oral test,,N,Level 4
口試,口试,ㄎㄡˇ ㄕˋ,kǒu shì,oral examination / oral test,,Vi,Level 4
口水,口水,ㄎㄡˇ ㄕㄨㄟˇ,kǒu shuǐ,saliva,,N,Level 4
口音,口音,ㄎㄡˇ ㄧㄣ,kǒu yīn,voice / accent,,N,Level 4
